#,n,pangaea
%,%,fhir
% 0-3 h,%{0to3Hours},fhir
% Abnormal,%{Abnormal},fhir
% Activity,%{Activity},fhir
% Bacteria,%{ofBacteria},fhir
% Basal Activity,%{BasalActivity},fhir
% Binding,%{Binding},fhir
% Blockade,%{Blockade},fhir
% Bound,%{Bound},fhir
% CO Hgb,%{Carboxyhemoglobin},fhir
% EOS Seen,%{EosSeen},fhir
% Excretion,%{Excretion},fhir
% Fetal RBC,%{FetalErythrocytes},fhir
% Hemolysis,%{Hemolysis},fhir
% Hgb,%{Hemoglobin},fhir
% Hgb A1C,%{HemoglobinA1C},fhir
% Hgb SAT,%{HemoglobinSaturation},fhir
% Inhibition,%{Inhibition},fhir
% Lymphs,%{OfLymphocytes},fhir
% Normal,%{Normal},fhir
% Normal Pooled Plasma,%{NormalPooledPlasma},fhir
% Oxygen,%{Oxygen},fhir
% Positive,%{Positive},fhir
% Sperm Motility,%{SpermMotility},fhir
% Total Protein,%{TotalProtein},fhir
% Uptake,%{Uptake},fhir
% WBCs,%{OfWBCs},fhir
% of Total,%{Total},fhir
% per 100 WBC,%/100{WBC},fhir
(K2)m/W,m2.K/W,pangaea
(\\(eq\\)),{eq},pangaea
(arb_u),[arb'U],hl7
(bdsk_u),[bdsk'U],hl7
(bsa),{bsa},hl7
(cal),cal,hl7
(cfu),{cfu},hl7
(drop),[drp],hl7
(eq),{eq},pangaea
(ka_u),[ka'U],hl7
(kcal),kcal,hl7
(kcal)/(8.hr),kcal/(8.h),hl7
(kcal)/d,kcal/d,hl7
(kcal)/hr,kcal/h,hl7
(knk_u),[knk'U],hl7
(mclg_u),[mclg'U],hl7
(od),{od},hl7
(ph),pH,hl7
(ppb),[ppb],hl7
(ppm),[ppm],hl7
(ppt),[pptr],hl7
(ppth),[ppth],hl7
(th_u),[todd'U],hl7
10*3(rbc),10*3{rbc},hl7
10.L,10.L/(min.m2),hl7
10.un.s/(cm5.m2),dyn.s/(cm5.m2),hl7
10.un.s/cm5,dyn.s/cm5,hl7
10^12/L,10*12/L,fhir
10^3 copies/mL,10*3{Copies}/mL,fhir
10^3/L,10*3/L,fhir
10^3/mL,10*3/mL,fhir
10^3/uL,10*3/uL,fhir
10^6  IU,10*6.[iU],fhir
10^6 eq/mL,10*6.eq/mL,fhir
10^6/L,10*6/L,fhir
10^6/mL,10*6/mL,fhir
10^6/uL,10*6/uL,fhir
10^9/L,10*9/L,fhir
10^9/mL,10*9/mL,fhir
10^9/uL,10*9/uL,fhir
AD,{AD},pangaea
